sampleName	originalIndex	Cell.Type..Samples	MajorType	JustPyra	GabaDeep	PyramidalDeep	WithOxtr	WithHtr3a	CellType	forContanim	Normalize2.0	Normalize	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	PMID	SharePermit	Notes	MouseStrain	ReporterGene	Cortex.Astrocyte	Cortex.Gabaergic	Cortex.Microglia	Cortex.Oligo	Cortex.Pyramidal	Brainstem.Astrocyte	Brainstem.Microglia	Brainstem.MotorCholin	Brainstem.Oligo	Brainstem.Serotonergic	Forebrain.Astrocyte	Forebrain.Cholin	Forebrain.Microglia	Forebrain.Oligo	SpinalCord.Astrocyte	SpinalCord.Microglia	SpinalCord.MotorCholin	SpinalCord.Oligo	Striatum.Astrocyte	Striatum.Cholin	Striatum.Microglia	Striatum.Oligo	Striatum.Spiny	Cerebellum.Astrocyte	Cerebellum.Basket	Cerebellum.CerebGranule	Cerebellum.Golgi	Cerebellum.Microglia	Cerebellum.Oligo	Cerebellum.Purkinje	Amygdala.Astrocyte	Amygdala.Gluta	Amygdala.Microglia	Amygdala.Oligo	Amygdala.Pyramidal	Hippocampus.Astrocyte	Hippocampus.DentateGranule	Hippocampus.Gabaergic	Hippocampus.Microglia	Hippocampus.Oligo	Hippocampus.Pyramidal	Thalamus.Astrocyte	Thalamus.Gabaergic	Thalamus.Hypocretinergic	Thalamus.Microglia	Thalamus.Oligo	Midbrain.Astrocyte	Midbrain.Cholin	Midbrain.Dopaminergic	Midbrain.Microglia	Midbrain.Oligo	Midbrain.Serotonergic	LocusCereuleus.Astrocyte	LocusCereuleus.Microglia	LocusCereuleus.Oligo	LocusCereuleus.Th_positive_LC	Ependymal.Astrocyte	Ependymal.Ependymal	Ependymal.Microglia	Ependymal.Oligo
GSM337817	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.392450500507408	0.383222770210994	0.26166117114109	0.383224611971837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337818	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.441050272809802	0.356349061243528	0.225382270774119	0.443065407865449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337819	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.434938999801506	0.396895417274158	0.231000897229296	0.456240578305971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337821	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.300329808739205	0.385372112570815	0.184755149307264	0.301727801126615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337822	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.311106843489841	0.343744824618388	0.185511616432645	0.274712003278876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337823	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.350036111896714	0.391651065142066	0.210451248391205	0.31252130131205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337837	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.305727585458572	0.378085577987434	0.17393759200385	0.262837312324694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337838	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.330738712558899	0.417158922832108	0.182400241482744	0.276141805858974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337839	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination			0.344681069772726	0.420687802222459	0.187591639612774	0.300105668646813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337773	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	NA	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	0.182372109997643	0.142731742713292	NA	0.296527177623345	0.360236082164752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337774	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	NA	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	0.159193515350243	0.14153710093494	NA	0.25939897340202	0.367251873133329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337775	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	NA	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	0.172028898916068	0.151885672945137	NA	0.304781817005979	0.367546997616112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337779	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	NA	Cholin	Cholin	Cholin	Cholin	Cholin	Cholin	TRUE	TRUE	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.140851277949049	NA	0.136764468340608	0.233125050601954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM337780	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	NA	Cholin	Cholin	Cholin	Cholin	Cholin	Cholin	TRUE	TRUE	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.150105742115706	NA	0.14123952813766	0.248574126817118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
