HID	humanGene	mouseGene
3	ACADM	Acadm
5	ACADVL	Acadvl
6	ACAT1	Acat1
7	ACVR1	Acvr1
9	SGCA	Sgca
12	ADSL	Adsl
13	AGA	Aga
14	AGT	Agt
16	ALAD	Alad
17	ALAS2	Alas2
20	AMPD1	Ampd1
26	APOH	Apoh
27	FAS	Fas
28	AR	Ar
29	ARG1	Arg1
32	ASL	Asl
33	ASPA	Aspa
35	ATP7A	Atp7a
39	BCKDHB	Bckdhb
41	BRCA2	Brca2
44	SERPING1	Serping1
45	C2	C2
47	C6	C6
48	C8B	C8b
52	CAPN3	Capn3
55	CD3G	Cd3g
56	CD40LG	Cd40lg
59	CHRNA1	Chrna1
60	CHRNE	Chrne
61	LYST	Lyst
62	ERCC8	Ercc8
63	CLCN1	Clcn1
65	CLCNKB	Clcnka
69	COL1A2	Col1a2
73	COL7A1	Col7a1
74	COMP	Comp
75	CP	Cp
76	CPOX	Cpox
77	CPT2	Cpt2
78	CST3	Cst3
79	CSTB	Cstb
80	CYBA	Cyba
83	DDB2	Ddb2
84	DLD	Dld
85	DPYD	Dpyd
88	EDN3	Edn3
89	EDNRB	Ednrb
91	EMD	Emd
92	ENG	Eng
93	EPB42	Epb4.2
94	EPHX1	Ephx1
95	EPOR	Epor
96	ERCC3	Ercc3
100	ETFA	Etfa
104	F5	F5
106	F9	F9
107	FABP2	Fabp2
108	FANCA	Fanca
109	FANCC	Fancc
110	FAH	Fah
112	MS4A2	Ms4a2
113	FECH	Fech
115	FH	Fh1
117	FSHR	Fshr
119	FUCA2	Fuca2
120	FUT1	Fut1
124	GALC	Galc
125	GALK1	Galk1
126	GALT	Galt
129	GBE1	Gbe1
130	GCDH	Gcdh
131	GCGR	Gcgr
132	GCH1	Gch1
134	GHR	Ghr
136	GJA1	Gja1
137	GJB1	Gjb1
139	GLI3	Gli3
141	GLDC	Gldc
142	GLRA3	Glra3
143	GP1BA	Gp1ba
144	GP9	Gp9
145	GPI	Gpi1
147	GSN	Gsn
148	GSS	Gss
149	MSH6	Msh6
152	HADHA	Hadha
153	HADHB	Hadhb
156	HGD	Hgd
158	HMBS	Hmbs
159	HMGCL	Hmgcl
160	TBX5	Tbx5
163	HPS1	Hps1
167	SGSH	Sgsh
168	ICAM1	Icam1
169	IDS	Ids
170	IDUA	Idua
171	CFI	Cfi
172	IL2RG	Il2rg
173	INS	Ins2
175	PDX1	Pdx1
179	ITGB4	Itgb4
180	JAG1	Jag1
181	JAK3	Jak3
183	KCNA1	Kcna1
185	LOC102723475	Kcne1
187	KIT	Kit
188	KRT12	Krt12
191	LAMB3	Lamb3
193	LEP	Lep
194	SGCG	Sgcg
195	SGCB	Sgcb
197	LIG1	Lig1
199	LIPC	Lipc
200	LPL	Lpl
201	KCNH2	Kcnh2
203	MAOA	Maoa
206	MET	Met
207	CIITA	Ciita
208	MLH1	Mlh1
210	MSH2	Msh2
212	MTTP	Mttp
215	MYBPC3	Mybpc3
219	MYO7A	Myo7a
220	MYOC	Myoc
221	NAGA	Naga
222	NAGLU	Naglu
223	PTCH1	Ptch1
225	NDP	Ndp
226	NF1	Nf1
227	PNP	Pnp2
227	PNP	Pnp
228	NPC1	Npc1
229	NPHP1	Nphp1
230	GPR143	Gpr143
231	OAT	Oat
233	OCRL	Ocrl
234	PAH	Pah
236	PCCA	Pcca
237	PDE6B	Pde6b
239	PEPD	Pepd
240	PEX12	Pex12
242	PEX7	Pex7
246	PHKA2	Phka2
247	PHKB	Phkb
250	PKD1	Pkd1
253	PKP1	Pkp1
256	PLOD1	Plod1
257	PMM2	Pmm2
259	POU1F1	Pou1f1
260	POU3F4	Pou3f4
262	PPOX	Ppox
264	PROS1	Pros1
265	PTEN	Pten
266	PTH	Pth
267	PTH1R	Pth1r
268	PTS	Pts
269	PEX2	Pex2
270	PEX5	Pex5
271	QDPR	Qdpr
272	RB1	Rb1
273	PRPH2	Prph2
276	ROM1	Rom1
279	RS1	Rs1
281	ATXN1	Atxn1
283	SCN4A	Scn4a
285	SGCD	Sgcd
286	SLC12A1	Slc12a1
287	SLC12A3	Slc12a3
292	SMN1	Smn1
292	SMN2	Smn1
293	SNCA	Snca
294	SOX9	Sox9
295	SPTB	Sptb
297	STAR	Star
298	ABCA4	Abca4
303	TCN2	Tcn2
306	TGM1	Tgm1
307	TH	Th
308	THBD	Thbd
309	TNNI3	Tnni3
313	TPMT	Tpmt
314	TSC1	Tsc1
315	TSHR	Tshr
317	TTR	Ttr
319	UMPS	Umps
320	UROD	Urod
324	XDH	Xdh
327	AIRE	Aire
328	APOB	Apob
330	BLMH	Blmh
331	SLC25A20	Slc25a20
332	CASR	Casr
333	CDKN1A	Cdkn1a
334	CHM	Chm
335	TPP1	Tpp1
339	CSF2RB	Csf2rb
339	CSF2RB	Csf2rb2
344	ERCC2	Ercc2
345	EXT2	Ext2
347	GALE	Gale
349	GM2A	Gm2a
350	GNRHR	Gnrhr
352	GPD2	Gpd2
353	GUCA1A	Guca1a
358	HSD17B4	Hsd17b4
359	IFNGR1	Ifngr1
360	IL2RA	Il2ra
362	KEL	Kel
363	KRT17	Krt17
369	LTBP2	Ltbp2
371	PAFAH1B1	Pafah1b1
372	MVK	Mvk
374	NCF2	Ncf2
375	NEU1	Neu1
376	NOTCH3	Notch3
377	OXCT1	Oxct1
379	PCSK1	Pcsk1
380	PDE6A	Pde6a
384	PLEC	Plec
385	PON2	Pon2
386	PSEN2	Psen2
387	RAG1	Rag1
389	SELE	Sele
390	SLC10A2	Slc10a2
392	SOD1	Sod1
393	STK11	Stk11
394	SUOX	Suox
395	HNF4A	Hnf4a
396	HNF1B	Hnf1b
397	TEK	Tek
398	THPO	Thpo
400	BARD1	Bard1
402	TWIST1	Twist1
403	NR0B1	Nr0b1
405	ALB	Alb
408	AMPD3	Ampd3
409	AMT	Amt
413	APRT	Aprt
416	ATRX	Atrx
417	AVP	Avp
418	C1QB	C1qb
420	CRYBB2	Crybb2
425	F12	F12
426	F2	F2
428	FGA	Fga
429	FGG	Fgg
430	FSHB	Fshb
433	GDNF	Gdnf
437	HEXB	Hexb
441	KCNJ11	Kcnj11
443	VLDLR	Vldlr
444	MC2R	Mc2r
445	MPZ	Mpz
446	OTC	Otc
447	PCCB	Pccb
448	PLP1	Plp1
449	PMS1	Pms1
452	RFXAP	Rfxap
455	SAG	Sag
456	SFTPB	Sftpb
457	SMPD1	Smpd1
459	HNF1A	Hnf1a
460	TP53	Trp53
461	TPO	Tpo
462	TSC2	Tsc2
463	TSHB	Tshb
464	TYRP1	Tyrp1
465	VHL	Vhl
466	VWF	Vwf
467	CRX	Crx
468	GDF5	Gdf5
469	HBA2	Hba-a1
469	HBA2	Hba-a2
469	HBA1	Hba-a1
469	HBA1	Hba-a2
472	C8A	C8a
473	IL5RA	Il5ra
474	IL6R	Il6ra
475	FCGR1A	Fcgr1
477	FCGR3B	Fcgr4
477	FCGR3A	Fcgr4
478	IL10	Il10
479	CD55	Daf2
479	CD55	Cd55
480	IL1A	Il1a
481	IL1B	Il1b
486	GC	Gc
487	IL15	Il15
488	IL2	Il2
489	C7	C7
491	IL4	Il4
492	IL9	Il9
493	CD14	Cd14
495	TAP1	Tap1
496	TNF	Tnf
497	LTA	Lta
498	IGFBP1	Igfbp1
499	IGFBP2	Igfbp2
500	IGFBP3	Igfbp3
502	IL6	Il6
503	HGF	Hgf
504	NOS3	Nos3
505	C8G	C8g
508	CD44	Cd44
510	IGF2	Igf2
511	HPX	Hpx
513	CD4	Cd4
515	IGF1	Igf1
519	BDKRB2	Bdkrb2
521	CD79B	Cd79b
522	LTBP1	Ltbp1
523	IL10RB	Il10rb
524	IFNAR1	Ifnar1
525	NCF4	Ncf4
526	ITGAM	Itgam
527	BCL2	Bcl2
530	SOD2	Sod2
531	GSR	Gsr
532	VTN	Vtn
533	FASLG	Fasl
534	IL13RA2	Il13ra2
535	IL11	Il11
536	AGL	Agl
537	CCR2	Ccr2
539	SELL	Sell
540	TGFB1	Tgfb1
542	ABAT	Abat
543	ACHE	Ache
550	ADORA3	Adora3
551	ADRA1D	Adra1d
553	ADRA2B	Adra2b
554	AHCY	Ahcy
560	ALOX12	Alox12
561	ALOX5	Alox5
563	ANXA1	Anxa1
564	ATP1A1	Atp1a1
568	AVPR1A	Avpr1a
569	BCKDHA	Bckdha
570	BDKRB1	Bdkrb1
572	BLVRA	Blvra
573	BLVRB	Blvrb
574	TSPO	Tspo
578	CACNA1D	Cacna1d
579	CACNA2D1	Cacna2d1
582	CACNG1	Cacng1
583	CCK	Cck
585	CD3D	Cd3d
586	CD3E	Cd3e
587	CGA	Cga
591	CHRNA3	Chrna3
592	CHRNA4	Chrna4
593	CHRNA7	Chrna7
594	CHRNB1	Chrnb1
595	CHRNB2	Chrnb2
598	CRAT	Crat
599	CRH	Crh
600	CSF2	Csf2
601	CSF3R	Csf3r
615	DBH	Dbh
616	DCK	Dck
618	DDC	Ddc
620	DIO1	Dio1
621	DIO2	Dio2
623	DRD3	Drd3
624	EPO	Epo
625	FGF1	Fgf1
627	FOLR2	Folr2
628	GAST	Gast
629	GABRA1	Gabra1
631	GABRA4	Gabra4
633	GABRB3	Gabrb3
635	GAD1	Gad1
